2022-04-21 22:38:45 INFO  file:47 - Сервер запущен
2022-04-24 16:30:27 INFO  file:46 - Сервер запущен
2022-04-24 16:30:31 INFO  file:62 - Клиент подключился
2022-04-24 16:30:35 INFO  file:62 - Клиент подключился
2022-04-24 16:30:38 INFO  file:62 - Клиент подключился
2022-04-24 16:30:42 INFO  file:62 - Клиент подключился
2022-04-24 16:30:45 INFO  file:62 - Клиент подключился
2022-04-24 16:30:55 INFO  file:115 - Пользователь Диана подключился к чату
2022-04-24 16:30:55 INFO  file:161 - Получен список активных пользователей: Диана
2022-04-24 16:31:14 INFO  file:115 - Пользователь Тимофей_Сафронов подключился к чату
2022-04-24 16:31:14 INFO  file:161 - Получен список активных пользователей: Диана Тимофей_Сафронов
2022-04-24 16:31:24 INFO  file:115 - Пользователь Андрей подключился к чату
2022-04-24 16:31:24 INFO  file:161 - Получен список активных пользователей: Диана Тимофей_Сафронов Андрей
2022-04-24 16:31:32 INFO  file:115 - Пользователь Дмитрий подключился к чату
2022-04-24 16:31:32 INFO  file:161 - Получен список активных пользователей: Диана Тимофей_Сафронов Андрей Дмитрий
2022-04-24 16:31:39 INFO  file:115 - Пользователь Арман_Беймишев подключился к чату
2022-04-24 16:31:39 INFO  file:161 - Получен список активных пользователей: Диана Тимофей_Сафронов Андрей Дмитрий Арман_Беймишев
2022-04-24 16:32:45 INFO  file:206 - Тимофей_Сафронов отправил сообщение: ыясваыясчч
2022-04-24 16:32:52 INFO  file:206 - Диана отправил сообщение: ыяасяычсчсчсаяч
2022-04-24 16:33:32 INFO  file:193 - Смена ника Андрей на ANDREW
2022-04-24 16:36:26 INFO  file:154 - Диана отправил приватное сообщение пользователю Арман_Беймишев: sdfgfsdfxv
2022-04-24 16:38:22 INFO  file:167 - ANDREW отключился от чата
2022-04-24 16:39:11 INFO  file:145 - Дмитрий отключился от чата
2022-04-24 16:39:57 INFO  file:193 - Смена ника Арман_Беймишев на ARMAN_BEYMISHEV
2022-04-24 16:40:52 INFO  file:167 - Диана отключился от чата
2022-04-24 16:41:17 INFO  file:115 - Пользователь ANDREW подключился к чату
2022-04-24 16:41:18 INFO  file:161 - Получен список активных пользователей: Тимофей_Сафронов ARMAN_BEYMISHEV ANDREW
2022-04-24 16:42:22 INFO  file:145 - ANDREW отключился от чата
2022-04-24 16:42:29 INFO  file:115 - Пользователь ANDREW подключился к чату
2022-04-24 16:42:29 INFO  file:161 - Получен список активных пользователей: Тимофей_Сафронов ARMAN_BEYMISHEV ANDREW
2022-04-24 16:42:55 INFO  file:167 - ANDREW отключился от чата
2022-04-24 16:43:15 INFO  file:62 - Клиент подключился
